sent1	sent2	score	score2	datamuse_similarity
A rooster is an adult male chicken.	A voyage is a long journey on a ship or in a spacecraft.	0.02	0.09	0.1660499537465309
Noon is 12 o'clock in the middle of the day.	String is thin rope made of twisted threads, used for tying things together or tying up parcels.	0.05	0.2	0.1113875069098949
Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.	A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish or produce steam.	0.19	0.63	0.1284601359191115
An autograph is the signature of someone famous which is specially written for a fan to keep.	The shores or shore of a sea, lake or wide river is the land along the edge of it.	0.02	0.09	0.1959093149334647
An automobile is a car.	In legends and fairy stories, a wizard is a man who has magic powers.	0.08	0.26	0.1412859560067682
A mound of something is a large rounded pile of it.	A stove is a piece of equipment which provides heat, either for cooking or for heating a room.	0.02	0.26	0.1844720496894409
A grin is a broad smile.	An implement is a tool or other piece of equipment.	0.02	0.08	0.1832711774107618
An Asylum is a psychiatric hospital.	Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.	0.02	0.09	0.0993502977801841
An Asylum is a psychiatric hospital.	A monk is a member of a male religious community that is usually separated from the outside world.	0.15	0.34	0.1125892277741725
A graveyard is an area of land, sometimes near a church, where dead people are buried.	If you describe a place or situation as a madhouse you mean that it is full of confusion and noise.	0.09	0.32	0.1841676367869615
Glass is a hard transparent substance that is used to make things such as windows and bottles.	A magician is a person who entertains people by doing magic tricks.	0.03	0.12	0.1108792068875554
A boy is a child who will grow up to be a man.	A rooster is an adult male chicken.	0.43	0.72	0.1636060100166945
A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.	A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.	0.21	0.48	0.171060957603881
A monk is a member of a male religious community that is usually separated from the outside world.	A slave is someone who is the property of another person and has to work for that person.	0.18	0.38	0.2350737532193865
An Asylum is a psychiatric hospital.	A cemetery is a place where dead people's bodies or their ashes are buried.	0.15	0.42	0.1513002364066193
The coast is an area of land that is next to the sea.	A forest is a large area where trees grow close together.	0.19	0.34	0.1592056546617301
A grin is a broad smile.	A lad is a young man or boy.	0.05	0.14	0.2443306510607169
The shores or shore of a sea, lake or wide river is the land along the edge of it.	Woodland is land with a lot of trees.	0.33	0.42	0.3094890510948905
A monk is a member of a male religious community that is usually separated from the outside world.	In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.	0.45	0.61	0.149752208575738
A boy is a child who will grow up to be a man.	A sage is a person who is regarded as being very wise.	0.17	0.35	0.1593714927048261
An automobile is a car.	A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.	0.08	0.21	0.1031746031746031
A mound of something is a large rounded pile of it.	The shores or shore of a sea, lake or wide river is the land along the edge of it.	0.14	0.29	0.2021512179689971
A lad is a young man or boy.	In legends and fairy stories, a wizard is a man who has magic powers.	0.13	0.27	0.2212713936430318
A forest is a large area where trees grow close together.	A graveyard is an area of land, sometimes near a church, where dead people are buried.	0.26	0.4	0.2430639324487333
Food is what people and animals eat.	A rooster is an adult male chicken.	0.22	0.44	0.0774193548387096
A cemetery is a place where dead people's bodies or their ashes are buried.	Woodland is land with a lot of trees.	0.15	0.31	0.1345306675703151
The shores or shore of a sea, lake or wide river is the land along the edge of it.	A voyage is a long journey on a ship or in a spacecraft.	0.08	0.23	0.1707620528771384
A bird is a creature with feathers and wings, females lay eggs and most birds can fly.	Woodland is land with a lot of trees.	0.05	0.18	0.1741659014386287
The coast is an area of land that is next to the sea.	A hill is an area of land that is higher than the land that surrounds it.	0.4	0.53	0.4738041002277904
A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish or produce steam.	An implement is a tool or other piece of equipment.	0.2	0.46	0.1272646928855502
A crane is a large machine that moves heavy things by lifting them in the air.	A rooster is an adult male chicken.	0.08	0.22	0.1229690984389932
A hill is an area of land that is higher than the land that surrounds it.	Woodland is land with a lot of trees.	0.58	0.73	0.291761148904006
A car is a motor vehicle with room for a small number of passengers.	When you make a journey, you travel from one place to another.	0.29	0.52	0.1295660318451451
A cemetery is a place where dead people's bodies or their ashes are buried.	A mound of something is a large rounded pile of it.	0.23	0.44	0.1240922008209661
Glass is a hard transparent substance that is used to make things such as windows and bottles.	A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.	0.43	0.71	0.3608380755302638
A magician is a person who entertains people by doing magic tricks.	In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.	0.52	0.65	0.1128622267412302
A crane is a large machine that moves heavy things by lifting them in the air.	An implement is a tool or other piece of equipment.	0.74	0.89	0.1339822502147151
Your brother is a boy or a man who has the same parents as you.	A lad is a young man or boy.	0.51	0.53	0.2915737851092287
A sage is a person who is regarded as being very wise.	In legends and fairy stories, a wizard is a man who has magic powers.	0.61	0.78	0.1455589327929753
In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.	A sage is a person who is regarded as being very wise.	1.13	0.94	0.1244903506387605
A bird is a creature with feathers and wings, females lay eggs and most birds can fly.	A crane is a large machine that moves heavy things by lifting them in the air.	0.14	0.3	0.1154102735156771
A bird is a creature with feathers and wings, females lay eggs and most birds can fly.	A cock is an adult male chicken.	0.65	0.63	0.1212215643502648
Food is what people and animals eat.	Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.	0.97	0.94	0.1159120310478654
Your brother is a boy or a man who has the same parents as you.	A monk is a member of a male religious community that is usually separated from the outside world.	0.18	0.37	0.1637729981860586
An Asylum is a psychiatric hospital.	If you describe a place or situation as a madhouse you mean that it is full of confusion and noise.	0.86	0.86	0.1246803069053708
